Année;Code INSEE région;Région;Production nucléaire (GWh);Production thermique (GWh);Production hydraulique (GWh);Production éolienne (GWh);Production solaire (GWh);Production bioénergies (GWh)
2013;32;Hauts-de-France;35123.0;5559.6;14.5;3262.5;106.8;661.9
2012;93;Provence-Alpes-Côte d'Azur;;5332.0;9082.0;116.5;674.6;495.0
2011;76;Occitanie;18594.8;545.1;9381.3;1815.1;447.1;594.0
2010;52;Pays de la Loire;;7047.0;16.0;602.0;61.0;175.0
2012;75;Nouvelle-Aquitaine;40071.0;1107.0;3225.0;648.9;752.2;1069.0
2013;28;Normandie;72065.0;5683.9;134.9;968.8;92.4;484.1
2008;11;Île-de-France;;5424.0;59.0;;0.7;965.0
2013;11;Île-de-France;;3989.3;35.2;38.4;58.2;1216.9
2013;76;Occitanie;19099.0;306.5;13544.7;2197.1;989.8;698.8
2008;75;Nouvelle-Aquitaine;48952.0;1686.0;4318.0;69.0;1.7;594.0
2009;84;Auvergne-Rhône-Alpes;84799.0;2161.0;26291.0;559.0;15.6;328.0
2011;32;Hauts-de-France;37596.6;8811.3;3.7;2473.8;47.5;517.0
2008;93;Provence-Alpes-Côte d'Azur;;6583.0;9095.0;88.0;2.2;188.0
2009;28;Normandie;63669.0;7439.0;146.0;476.0;1.4;377.0
2011;53;Bretagne;;275.1;554.6;1112.9;95.4;135.0
2012;53;Bretagne;;282.0;552.0;1286.0;138.3;138.0
2008;27;Bourgogne-Franche-Comté;;2011.0;1003.0;64.0;1.1;96.0
2010;11;Île-de-France;;5534.0;52.0;;7.9;963.0
2010;44;Grand Est;84025.0;13147.0;9390.0;1819.0;43.1;321.0
2010;53;Bretagne;;413.0;583.0;906.0;29.2;127.0
2012;24;Centre-Val de Loire;81691.0;596.0;118.0;1560.0;129.1;240.0
2008;24;Centre-Val de Loire;77701.0;743.0;189.0;758.0;0.4;148.0
2008;52;Pays de la Loire;;4854.0;19.0;255.0;3.9;123.0
2012;84;Auvergne-Rhône-Alpes;90449.0;2012.0;29076.0;777.9;438.2;452.0
2014;94;Corse;;820.0;493.0;31.0;124.0;11.0
2016;11;Île-de-France;;2299.0;58.0;61.0;70.0;1236.0
2017;32;Hauts-de-France;31437.0;11025.0;11.0;5723.0;130.0;989.0
2019;28;Normandie;49259.0;3097.0;105.0;1775.0;180.0;457.0
2019;75;Nouvelle-Aquitaine;47320.0;935.0;3723.0;1931.0;3287.0;1574.0
2020;11;Île-de-France;;1739.0;43.0;266.0;126.0;1134.0
2022;84;Auvergne-Rhône-Alpes;73122.0;2842.0;22560.0;1437.0;2176.0;1013.0
2024;27;Bourgogne-Franche-Comté;;564.0;1065.0;2216.0;1069.0;406.0
2024;94;Corse;;882.0;430.0;34.0;288.0;2.0
2016;27;Bourgogne-Franche-Comté;;648.0;944.0;779.0;216.0;175.0
2015;44;Grand Est;85240.0;7551.0;8093.0;5166.0;495.0;636.0
2018;27;Bourgogne-Franche-Comté;;735.0;816.0;1311.0;292.0;272.0
2018;93;Provence-Alpes-Côte d'Azur;;5802.0;10515.0;100.0;1624.0;1066.0
2019;94;Corse;;968.0;403.0;9.0;225.0;7.0
2020;27;Bourgogne-Franche-Comté;;741.0;729.0;1943.0;385.0;367.0
2022;11;Île-de-France;;2132.0;57.0;322.0;230.0;1232.0
2024;32;Hauts-de-France;32765.0;3521.0;15.0;12515.0;626.0;941.0
2024;44;Grand Est;62400.0;3935.0;9467.0;9149.0;1685.0;1319.0
2021;28;Normandie;65112.0;2753.0;102.0;1793.0;216.0;724.0
2021;53;Bretagne;;1049.0;603.0;1946.0;285.0;447.0
2023;75;Nouvelle-Aquitaine;37182.0;720.0;4359.0;3553.0;5530.0;1540.0
2023;76;Occitanie;4523.0;270.0;9264.0;3505.0;4555.0;818.0
2009;27;Bourgogne-Franche-Comté;;1724.0;673.0;119.0;4.2;93.0
2013;75;Nouvelle-Aquitaine;41942.0;831.3;4568.3;714.1;830.0;1164.7
2010;27;Bourgogne-Franche-Comté;;1328.0;879.0;141.0;19.6;123.0
2010;76;Occitanie;17879.0;817.0;12003.0;1757.0;114.3;509.0
2011;27;Bourgogne-Franche-Comté;;1172.4;640.3;154.1;58.3;128.0
2011;28;Normandie;74709.2;6686.0;111.0;829.5;39.1;411.0
2013;93;Provence-Alpes-Côte d'Azur;;5185.7;12415.7;116.0;813.5;512.3
2013;24;Centre-Val de Loire;68317.0;313.6;171.4;1513.2;166.4;362.9
2008;44;Grand Est;84367.0;10387.0;9582.0;984.0;0.9;302.0
2011;93;Provence-Alpes-Côte d'Azur;;6843.4;7920.8;92.5;338.7;450.0
2013;27;Bourgogne-Franche-Comté;;1071.1;1064.6;288.3;150.4;138.1
2013;52;Pays de la Loire;;6370.9;13.4;983.5;303.7;340.5
